 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.72879E-02      -0.30465E-06      -0.52964E-05      -0.79592E-04      -0.23576E-05       0.34283E-04
      0      1      -0.14010E+02      -0.74273E-03       0.52298E+00       0.98496E+01      -0.12213E+01       0.19391E+02
      0      1      -0.31451E+01      -0.21688E-03       0.20767E+01       0.32997E+02      -0.90240E-01       0.46338E+00
      0      1       0.11597E+02       0.84789E-03      -0.16661E+00      -0.10612E+01       0.23681E+00      -0.44316E+01
      0      1      -0.46811E+01      -0.43465E-03      -0.25758E+01      -0.38895E+02      -0.18340E+00       0.21234E+01
      0      1       0.54504E+01       0.40065E-03      -0.20109E+01      -0.29349E+02      -0.18270E+01       0.26042E+02
      0      1       0.15225E+01       0.11957E-04       0.53569E-01       0.25640E+01      -0.16976E+01       0.25868E+02
      0      1      -0.52313E+01      -0.42961E-03       0.22079E+01       0.34021E+02       0.25730E+00      -0.43885E+01
      0      1      -0.38622E+01      -0.29517E-03      -0.90573E-01      -0.13810E+01      -0.12559E+01       0.17436E+02
      0      1      -0.27241E+01      -0.26735E-03      -0.94394E+00      -0.13739E+02       0.89249E+00      -0.14177E+02
      0      1      -0.21455E+01      -0.20272E-03       0.14421E+01       0.23456E+02       0.81603E+00      -0.12369E+02
      0      1       0.11108E+02       0.72537E-03       0.21501E+01       0.30769E+02      -0.91961E+00       0.12495E+02
      0      1       0.12631E+02       0.84541E-03      -0.74234E+00      -0.92793E+01       0.12243E+01      -0.17470E+02
      0      1      -0.23393E+01      -0.28893E-03       0.16016E+01       0.25969E+02       0.24093E+01      -0.38415E+02
      0      1       0.63883E+01       0.42422E-03       0.19382E+01       0.30561E+02      -0.10894E+01       0.16039E+02
      0      1       0.53872E+01       0.44584E-03      -0.29366E+00      -0.19837E+01      -0.39645E+00       0.48806E+01
      0      1      -0.29039E+01      -0.36728E-03      -0.25055E+01      -0.40680E+02       0.52006E+00      -0.73885E+01
      0      1      -0.81848E+01      -0.59358E-03       0.66072E+00       0.11814E+02      -0.22626E+01       0.36238E+02
      0      1       0.10361E+02       0.60295E-03       0.41109E+00       0.56431E+01      -0.10717E+01       0.15967E+02
      0      1       0.35098E+01       0.29835E-03      -0.46783E+00      -0.72971E+01       0.67592E+00      -0.87099E+01
      0      1       0.15054E+02       0.81727E-03       0.25405E+00       0.53597E+01       0.15284E+01      -0.22981E+02
      0      1      -0.30309E+02      -0.29915E-03      -0.52133E+00      -0.91115E+01      -0.21657E+01       0.34854E+02
      0      1       0.21195E-01      -0.76450E-05      -0.39336E+00      -0.68684E+01       0.20579E+01      -0.32388E+02
      0      1      -0.23781E+01      -0.35348E-03      -0.84472E+00      -0.13345E+02       0.20640E+01      -0.32062E+02
      0      1       0.38564E+01       0.17900E-03      -0.19725E+01      -0.31492E+02       0.74553E+00      -0.11642E+02
