 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.72882E-02      -0.30469E-06      -0.69946E-05      -0.17345E-03       0.20127E-05      -0.29809E-04
      0      1      -0.31322E+01      -0.21642E-03       0.20139E+00       0.56229E+01       0.77639E-02       0.11680E+01
      0      1       0.12432E+02       0.67666E-03       0.87588E+00       0.20741E+02      -0.25487E+01       0.40149E+02
      0      1      -0.38266E+01      -0.29582E-03      -0.23704E+00      -0.59190E+01       0.76865E+00      -0.99032E+01
      0      1       0.13288E+02       0.84258E-03       0.10193E+01       0.23957E+02      -0.20577E+01       0.31307E+02
      0      1      -0.21987E+01      -0.20209E-03      -0.15531E+01      -0.38154E+02      -0.56528E+00       0.92211E+01
      0      1      -0.40758E+01      -0.40878E-03      -0.81984E+00      -0.20908E+02       0.24165E+01      -0.43637E+02
      0      1       0.14523E+02       0.81662E-03       0.76275E+00       0.18926E+02       0.17193E+01      -0.23521E+02
      0      1      -0.22534E+01      -0.29192E-03       0.50170E+00       0.13006E+02      -0.16842E+01       0.28218E+02
      0      1       0.64052E+01       0.42419E-03      -0.63668E-01      -0.95114E+00       0.72781E+00      -0.11212E+02
      0      1       0.14111E+02       0.86343E-03       0.12705E+01       0.30337E+02       0.21020E+01      -0.29819E+02
      0      1      -0.82615E+01      -0.83791E-03       0.24635E+00       0.75594E+01      -0.10747E+01       0.17353E+02
      0      1      -0.30574E+01      -0.36403E-03       0.24707E+01       0.61071E+02      -0.33144E+00       0.47436E+01
      0      1      -0.22193E+02      -0.52384E-03      -0.66474E+00      -0.17772E+02       0.20587E+01      -0.35038E+02
      0      1       0.10233E+02       0.60406E-03       0.26519E+01       0.65044E+02       0.72769E+00      -0.11438E+02
      0      1       0.35197E+01       0.29819E-03      -0.32087E+00      -0.80084E+01      -0.36392E+00       0.37430E+01
      0      1       0.11875E+02       0.80070E-03      -0.29861E+01      -0.73209E+02      -0.26767E+01       0.39213E+02
      0      1      -0.30352E+02      -0.30044E-03       0.21377E+01       0.53146E+02       0.15299E+01      -0.25766E+02
      0      1       0.15804E-02      -0.89365E-05       0.17356E+01       0.42856E+02      -0.14254E+01       0.23234E+02
      0      1      -0.23395E+01      -0.35521E-03      -0.11912E+01      -0.29984E+02      -0.14123E+01       0.22561E+02
      0      1       0.38382E+01       0.17976E-03       0.96601E+00       0.23153E+02      -0.54524E+00       0.94463E+01
      0      1       0.17453E+02       0.77280E-03      -0.28468E+01      -0.68519E+02       0.20020E+01      -0.29381E+02
      0      1       0.12055E+02       0.62299E-03      -0.29484E+01      -0.72690E+02       0.20406E+01      -0.31165E+02
      0      1       0.38704E+01       0.38109E-03      -0.86560E+00      -0.21359E+02      -0.11782E+00       0.10138E+01
      0      1      -0.86866E+01      -0.79708E-03       0.22434E+01       0.57346E+02      -0.13284E+01       0.20930E+02
      0      1      -0.15123E+01      -0.93871E-04      -0.21033E+00      -0.51606E+01      -0.84252E+00       0.11300E+02
      0      1       0.68354E+01       0.47015E-03      -0.89048E+00      -0.22584E+02       0.45368E+00      -0.56565E+01
      0      1      -0.24246E+02      -0.48228E-03      -0.24358E+01      -0.60966E+02       0.17509E+00      -0.18398E+01
      0      1       0.86359E+00       0.77111E-05      -0.21219E+01      -0.52956E+02      -0.27277E+00       0.52886E+01
      0      1      -0.15113E+02      -0.73162E-03      -0.16764E+01      -0.42608E+02      -0.63431E+00       0.96699E+01
      0      1       0.28899E+00      -0.72066E-05      -0.10783E+01      -0.26066E+02      -0.26905E+00       0.57292E+01
      0      1      -0.74729E+01      -0.39579E-03      -0.16205E-01      -0.15308E+01       0.19784E+00      -0.34341E+01
      0      1       0.35165E+01       0.23014E-03       0.15085E+01       0.36690E+02      -0.69106E+00       0.93082E+01
      0      1       0.27069E+02       0.50358E-03       0.23968E+01       0.59774E+02       0.14377E+01      -0.20829E+02
      0      1       0.59100E+01       0.45329E-03      -0.27287E+01      -0.67262E+02       0.12898E+01      -0.19748E+02
      0      1      -0.87507E+01      -0.75564E-03      -0.26917E+01      -0.69123E+02       0.34923E+00      -0.47558E+01
      0      1       0.41995E+01       0.15170E-03       0.21718E+01       0.53924E+02      -0.21194E+01       0.32951E+02
      0      1      -0.84780E+01      -0.46696E-03       0.96825E+00       0.23807E+02       0.10855E+01      -0.18489E+02
      0      1       0.81394E+01       0.43004E-03       0.61930E+00       0.14286E+02       0.17424E+01      -0.25573E+02
      0      1      -0.28742E+01      -0.28970E-03       0.20673E+01       0.52450E+02      -0.47748E+00       0.66874E+01
      0      1       0.18549E+01       0.99014E-04      -0.29188E+01      -0.72555E+02       0.29371E+00      -0.47227E+01
      0      1       0.93815E+00      -0.10662E-04       0.23293E+01       0.58601E+02       0.25414E+01      -0.43265E+02
      0      1      -0.27168E+01      -0.35702E-03      -0.18797E-01       0.67431E+00      -0.67365E+00       0.98924E+01
      0      1      -0.66738E+01      -0.39863E-03       0.12448E+00       0.39956E+01       0.20228E+01      -0.33455E+02
