 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.72878E-02      -0.30464E-06      -0.63234E-05      -0.76404E-04      -0.18061E-05       0.15780E-04
      0      1      -0.14060E+02      -0.74305E-03       0.25463E+00       0.47050E+01      -0.99262E+00       0.96224E+01
      0      1      -0.31493E+01      -0.21634E-03       0.20800E+01       0.26781E+02      -0.11582E+00      -0.25139E-01
      0      1       0.11593E+02       0.84780E-03      -0.43798E+00      -0.39535E+01       0.14806E+00      -0.25283E+01
      0      1      -0.47132E+01      -0.43425E-03      -0.29923E+01      -0.36817E+02      -0.18098E+00       0.88314E+00
      0      1       0.53339E+01       0.40015E-03      -0.24411E+01      -0.28645E+02      -0.15761E+01       0.12519E+02
      0      1       0.14297E+01       0.11408E-04      -0.26037E+00      -0.16148E+01      -0.14194E+01       0.12583E+02
      0      1      -0.52487E+01      -0.42924E-03       0.24390E+01       0.30419E+02       0.18805E+00      -0.23397E+01
      0      1      -0.39071E+01      -0.29545E-03      -0.10328E+00      -0.12568E+01      -0.11233E+01       0.80738E+01
      0      1       0.12924E+02       0.84268E-03      -0.28594E+01      -0.36385E+02       0.26509E+01      -0.22363E+02
      0      1      -0.27553E+01      -0.26732E-03      -0.11881E+01      -0.13939E+02       0.70632E+00      -0.72172E+01
      0      1      -0.21663E+01      -0.20265E-03       0.13480E+01       0.17799E+02       0.66909E+00      -0.61703E+01
      0      1       0.11058E+02       0.72572E-03       0.26547E+01       0.30874E+02      -0.79810E+00       0.60531E+01
      0      1       0.12577E+02       0.84519E-03      -0.11556E+01      -0.12180E+02       0.10334E+01      -0.85521E+01
      0      1      -0.46392E+01      -0.40649E-03      -0.64718E+00      -0.82170E+01      -0.27837E+01       0.27184E+02
      0      1       0.14225E+02       0.81782E-03       0.11827E+01       0.14819E+02      -0.24093E+01       0.19220E+02
      0      1      -0.85295E+01      -0.73589E-03      -0.27177E+01      -0.37064E+02      -0.18242E+01       0.16203E+02
      0      1      -0.25270E+01      -0.29069E-03       0.16177E+01       0.20764E+02       0.20090E+01      -0.18467E+02
      0      1       0.63527E+01       0.42443E-03       0.19209E+01       0.24487E+02      -0.89994E+00       0.79979E+01
      0      1       0.53698E+01       0.44593E-03      -0.76803E+00      -0.70779E+01      -0.37061E+00       0.21628E+01
      0      1      -0.29198E+01      -0.36553E-03      -0.23600E+01      -0.31316E+02       0.44945E+00      -0.35507E+01
      0      1      -0.83517E+01      -0.59513E-03       0.46644E+00       0.70706E+01      -0.19026E+01       0.17294E+02
      0      1      -0.45562E+02       0.19032E-03       0.15834E+01       0.18391E+02       0.25489E+01      -0.22276E+02
      0      1       0.10326E+02       0.60285E-03       0.55576E+00       0.61893E+01      -0.87741E+00       0.79978E+01
      0      1       0.34977E+01       0.29830E-03      -0.48243E+00      -0.60334E+01       0.61770E+00      -0.39633E+01
      0      1       0.14984E+02       0.81679E-03       0.12260E-01       0.15241E+01       0.12510E+01      -0.11455E+02
      0      1      -0.30460E+02      -0.30069E-03      -0.39897E+00      -0.57911E+01      -0.17865E+01       0.16906E+02
      0      1      -0.11067E+00      -0.91332E-05      -0.29356E+00      -0.42972E+01       0.17036E+01      -0.15751E+02
      0      1      -0.25135E+01      -0.35474E-03      -0.90561E+00      -0.11341E+02       0.17449E+01      -0.15344E+02
      0      1       0.38369E+01       0.17959E-03      -0.19067E+01      -0.24697E+02       0.58562E+00      -0.59961E+01
      0      1       0.17273E+02       0.77314E-03       0.16226E+01       0.21661E+02      -0.26091E+01       0.22341E+02
      0      1       0.47752E+01       0.40973E-03       0.11259E+01       0.12656E+02      -0.84230E+00       0.67154E+01
      0      1      -0.11986E+02      -0.80313E-03      -0.28222E+01      -0.36123E+02      -0.13602E+00       0.18049E+01
      0      1       0.31278E+01       0.10200E-03       0.27020E-01       0.24335E+01      -0.73273E+00       0.63846E+01
      0      1       0.38792E+01       0.38092E-03      -0.59577E+00      -0.72903E+01       0.21889E+00      -0.12963E+01
      0      1       0.23578E+02       0.59483E-03      -0.20341E+00      -0.51725E+01       0.10220E+01      -0.85037E+01
      0      1      -0.86171E+01      -0.83438E-03      -0.29118E+01      -0.35457E+02       0.25063E+01      -0.21796E+02
      0      1      -0.88298E+01      -0.79775E-03       0.27322E+01       0.34939E+02       0.16654E+01      -0.14029E+02
      0      1      -0.14939E+02      -0.74353E-03      -0.27369E+01      -0.34491E+02      -0.18484E+01       0.17492E+02
      0      1      -0.28318E+01      -0.35790E-03       0.72587E+00       0.82379E+01      -0.18844E+00       0.19360E+01
      0      1      -0.15965E+01      -0.93529E-04       0.13298E+00       0.17687E+01       0.11983E+01      -0.90298E+01
      0      1       0.67983E+01       0.46954E-03      -0.26850E+01      -0.34062E+02      -0.67997E+00       0.50376E+01
      0      1      -0.22011E+01      -0.11566E-03       0.20403E+00       0.42342E+01       0.43115E+00      -0.45260E+01
      0      1      -0.77865E+01      -0.40916E-03       0.23022E+01       0.27509E+02      -0.12896E+01       0.12068E+02
      0      1      -0.24120E+02      -0.48376E-03       0.31860E+00       0.48319E+01      -0.28877E+00       0.17649E+01
      0      1       0.92918E+00       0.67590E-05      -0.14239E+01      -0.17591E+02       0.24767E+00      -0.30210E+01
      0      1      -0.15117E+02      -0.73235E-03      -0.15421E+01      -0.19543E+02       0.81301E+00      -0.66912E+01
      0      1       0.30458E+01       0.23411E-03      -0.54314E+00      -0.56740E+01       0.16518E+01      -0.14759E+02
