 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.63122E+01      -0.40856E-03       0.12541E+01       0.96191E+01      -0.85367E+00      -0.90864E+01
      0      1      -0.30700E+00       0.79488E-04      -0.14134E+01      -0.82125E+01      -0.11160E+01      -0.14691E+02
      0      1       0.56894E+01      -0.43514E-03       0.10299E+01       0.52658E+01       0.99029E+00       0.39066E+01
      0      1      -0.11615E+01       0.29740E-03       0.35116E+00       0.58772E+01      -0.95770E+00      -0.30830E+01
      0      1       0.49055E+01      -0.41178E-03       0.13700E+01       0.11551E+02       0.15534E+01       0.18552E+02
      0      1      -0.19924E+01       0.35107E-03       0.82172E+00      -0.13968E+01       0.33152E+00       0.43213E+01
      0      1      -0.51096E+01       0.38162E-03      -0.71845E+00      -0.48911E+01       0.88885E+00       0.28192E+01
      0      1      -0.19775E+01      -0.32357E-04       0.17195E+01       0.13307E+02       0.13816E+01       0.70586E+01
      0      1      -0.90674E+00       0.37518E-03      -0.97639E+00      -0.96256E+01       0.14269E+01       0.67421E+01
      0      1      -0.45105E+00       0.34266E-03       0.18425E+01       0.17469E+02      -0.16514E+01      -0.14169E+02
      0      1      -0.51924E+01       0.25427E-03      -0.32760E+00      -0.26561E+01      -0.12356E+01      -0.82646E+01
      0      1       0.14235E+01      -0.25767E-03       0.87689E+00       0.94979E+01       0.10066E+01       0.97977E+01
      0      1       0.88807E+00      -0.24632E-03      -0.15304E+01      -0.89151E+01      -0.20575E+00      -0.80192E+01
      0      1      -0.24165E+01       0.24935E-03       0.17817E+01       0.18950E+02       0.68210E+00       0.59478E+01
      0      1      -0.18522E+01       0.14937E-04       0.17838E+00       0.38054E+00       0.10420E+01       0.67886E+01
      0      1      -0.61464E+01       0.43006E-03      -0.18132E+01      -0.17891E+02      -0.11736E+01      -0.36745E+01
      0      1      -0.68169E+01       0.47499E-03       0.17743E+00      -0.97282E+00       0.10013E+01       0.23666E+01
      0      1       0.44052E+01      -0.20553E-03       0.98245E+00       0.25991E+01       0.78683E+00       0.26101E+01
      0      1       0.11905E+01      -0.14050E-03       0.44143E+00      -0.98886E+00      -0.11656E+01      -0.27973E+01
      0      1       0.40665E+01      -0.24215E-03      -0.16488E+00       0.48037E+01      -0.10193E+01      -0.10704E+02
      0      1       0.71638E+00      -0.25121E-03      -0.11150E+00       0.63150E+01      -0.13703E+01      -0.10028E+02
      0      1      -0.42176E+01       0.40872E-03       0.48861E-01      -0.74086E+00       0.85870E+00       0.46559E+01
      0      1      -0.57256E+00      -0.77706E-04       0.78256E-01      -0.48506E+00      -0.67150E+00       0.16348E+01
      0      1      -0.62874E+00       0.30593E-03       0.15495E+01       0.12124E+02      -0.14406E+01      -0.11071E+02
      0      1      -0.31497E+01       0.86390E-04       0.16151E+01       0.12991E+02      -0.32095E+00      -0.25767E+01
      0      1      -0.37014E-01      -0.85753E-04      -0.36267E+00      -0.82363E+00       0.47473E+00      -0.91168E+00
      0      1       0.23370E+01      -0.89680E-04      -0.56305E+00      -0.22166E+01      -0.22661E+00       0.13806E+01
      0      1       0.30269E+01      -0.13048E-03      -0.15379E+01      -0.85228E+01      -0.15669E+01      -0.12191E+02
      0      1      -0.22061E+01       0.39888E-03      -0.10598E+01      -0.13186E+02       0.46195E-01      -0.41915E+01
      0      1      -0.43085E+01       0.18412E-03      -0.12529E+01      -0.51090E+01       0.24573E+00       0.30207E+01
      0      1       0.30016E+01      -0.18175E-03       0.56102E+00      -0.16891E+01       0.44796E+00       0.69140E+01
      0      1      -0.37285E+01       0.25006E-03       0.14158E+01       0.13836E+02      -0.60325E+00      -0.57130E+00
      0      1       0.20175E+01      -0.32118E-03       0.10388E+01       0.68249E+01       0.72754E-01       0.20649E+01
      0      1      -0.96102E+00       0.38295E-03      -0.15027E+01      -0.14170E+02      -0.32388E+00       0.21869E+01
      0      1       0.59333E+01      -0.38988E-03       0.15050E+01       0.13210E+02      -0.10889E+01      -0.14522E+02
      0      1      -0.60354E+01       0.31051E-03       0.11202E+01       0.57828E+01      -0.52686E+00      -0.42040E+01
      0      1      -0.54855E+01       0.27465E-03      -0.13516E+01      -0.57680E+01       0.96266E+00       0.56479E+01
      0      1      -0.70421E+01       0.47225E-03      -0.17074E+01      -0.12833E+02       0.48344E+00       0.89384E+00
      0      1       0.32361E-01       0.10985E-03      -0.12257E+00      -0.57220E+01       0.62773E+00       0.46843E+01
      0      1       0.14923E+00       0.22058E-03      -0.16421E+01      -0.15135E+02      -0.32880E+00      -0.54665E+00
      0      1       0.94249E+00      -0.33375E-03       0.61665E+00       0.88614E+01       0.12482E+01       0.45183E+01
      0      1       0.54656E+00      -0.27327E-03      -0.61223E+00      -0.60151E+01      -0.36307E+00      -0.11257E+01
      0      1      -0.26132E+01       0.51878E-04       0.12310E+01       0.72951E+01      -0.79231E+00      -0.16802E+00
      0      1      -0.34010E+01       0.36416E-03       0.12989E+00       0.88776E+00       0.97042E+00       0.85153E+01
      0      1      -0.65632E+00       0.29000E-03      -0.12883E+01      -0.43404E+01       0.85108E+00       0.33462E+01
      0      1       0.33083E+01      -0.21696E-03       0.64622E+00      -0.29400E+01       0.41197E+00       0.53850E+01
      0      1       0.63175E+01      -0.39075E-03      -0.33653E+00      -0.63602E+01      -0.16589E+01      -0.16618E+02
      0      1      -0.48967E+00       0.29026E-03       0.26011E+00       0.39019E+01      -0.23000E+00       0.27809E+01
      0      1      -0.61271E+00       0.17109E-03       0.10261E+00       0.61325E-01       0.24560E-01       0.61903E+01
      0      1       0.19441E+01       0.80126E-04      -0.50615E-01      -0.34166E+01       0.60614E+00       0.87458E+01
